3
100 1
100
0.2309539963219377
1 0 0 0 1 0 0 0 1
T T T
0.1530671232009998 0.9106536471287729 0.3147832064033925 
0.04678643751962618 0.5190201976640714 0.8295810150176238 
0.2558508809146894 0.7098608741414536 0.08252229877896747 
0.9422730512811256 0.668589953430946 0.2801039891450677 
0.1154572214218245 0.3523507481322996 0.2216645581772384 
0.9032649053426065 0.4461322333657251 0.231517482691275 
0.4442256819020869 0.5527883017022239 0.5453997279261836 
0.1494058839064498 0.1264432754823307 0.829451964684897 
0.5080750928928631 0.4321167742473055 0.2136029572346207 
0.08966492670220645 0.7271062418197959 0.9210152355535338 
0.7792647469444991 0.04528881156856492 0.3653940726217461 
0.5606031560403965 0.2127361393757941 0.2647693603427801 
0.2943413461693608 0.4016272356190094 0.3593768449111806 
0.7147113605789948 0.9810344648972034 0.7621847062070594 
0.9207463948566024 0.07581373052658844 0.807426193537958 
0.6804148749121195 0.4262704224338041 0.5752938660385802 
0.2991887406050985 0.7268329608654325 0.4938722035778538 
0.8675235027965682 0.3038069422534434 0.5159773942970038 
0.9636284024522334 0.2509494378894881 0.08010776431433489 
0.5155069300839578 0.661437342468281 0.1329518125436571 
0.04534330110001596 0.9857615629611055 0.981285544092912 
0.338034133260559 0.9502114703240075 0.4474625083529275 
0.7131034255169909 0.3872799700741227 0.114382476407517 
0.4531835243454648 0.8684630665159716 0.05062919438236185 
0.136853968360106 0.3826503511613783 0.9935506830151185 
0.7028438742934806 0.7527775222506202 0.7962028554210405 
0.3448538968295896 0.2612232302766171 0.1828898443254371 
0.6165193777361684 0.5587512732047156 0.388198082896178 
0.9008827920632221 0.661169516040109 0.7204350546379502 
0.5196910327847045 0.7783961877237756 0.417214786126403 
0.06292941036403159 0.5034085564549363 0.3883258410487726 
0.294925089776627 0.8276483192548597 0.8872197992987708 
0.9022717062605606 0.850870103657462 0.8590584637283465 
0.9935984703854696 0.4748647771798235 0.6091404562232752 
0.5084840398488202 0.3600925964296294 0.4353711774006673 
0.02848776671588674 0.204370000119875 0.6484279165973263 
0.9421941098288488 0.2280632353729731 0.3108826523030604 
0.415282882031546 0.04124500807843826 0.2110903587597804 
0.1157506616910613 0.287369796963093 0.4513135277935622 
0.7076939048301555 0.9027355587875867 0.5325665163931106 
0.742275311276425 0.7507830312285009 0.3613710910144518 
0.8858172223764131 0.6890156012585421 0.0235435545692895 
0.9951042195266758 0.6890468326681971 0.5079353283178673 
0.2252064420718013 0.1010112654796594 0.582231133961334 
0.7730111736375656 0.2357343222619592 0.9492022325928973 
